,sentence_id,word,pos,tag
311,6,prioritize,VB,O
312,6,duty,NNS,O
313,6,.,.,O
314,7,excellent,JJ,O
315,7,oral,JJ,B-Skill
316,7,and,CC,I-Skill
317,7,write,VBN,I-Skill
318,7,communication,NN,I-Skill
319,7,skill,NNS,I-Skill
320,7,.,.,O
321,8,seamlessly,RB,O
322,8,use,VB,B-Skill
323,8,technology,NN,I-Skill
324,8,to,TO,I-Skill
325,8,execute,VB,I-Skill
326,8,/,",",O
327,8,streamline,VB,B-Skill
328,8,task,NNS,I-Skill
329,8,;,",",O
330,8,and,CC,O
331,8,highly,RB,O
332,8,proficient,JJ,O
333,8,with,IN,O
334,8,Microsoft,NNP,B-Skill
335,8,Office,NNP,I-Skill
336,8,.,.,O
337,9,ability,NN,O
338,9,to,TO,O
339,9,manage,VB,B-Skill
340,9,multiple,JJ,I-Skill
341,9,project,NNS,I-Skill
342,9,simultaneously,RB,I-Skill
343,9,while,IN,I-Skill
344,9,maintain,VBG,I-Skill
345,9,attention,NN,I-Skill
346,9,to,IN,I-Skill
347,9,detail,NN,I-Skill
348,9,and,CC,O
349,9,follow,VB,O
350,9,-,.,O
351,10,up,RB,O
352,10,.,.,O
